id,name,full_name,url,description,last_updated,flavors,curse_id,wago_id,wowi_id,has_release_json,last_seen,downloads,release_count
208632104,BulkMail,Addons-By-Neotron/BulkMail,https://github.com/Addons-By-Neotron/BulkMail,,2026-03-10T01:40:30Z,"titan,mainline,vanilla,tbc,mists",13586,VBNBrzNx,18819,True,2026-04-05T23:28:23Z,14684,40
208640200,BulkMail2Inbox,Addons-By-Neotron/BulkMail2Inbox,https://github.com/Addons-By-Neotron/BulkMail2Inbox,Bulk mail reception made really easy,2026-03-16T01:05:31Z,"titan,mainline,vanilla,tbc,mists",13587,WL6JdYGv,18867,True,2026-04-05T23:28:23Z,3420,36
208635680,ButtonBin,Addons-By-Neotron/ButtonBin,https://github.com/Addons-By-Neotron/ButtonBin,A bin for all your LibDataBroker buttons,2026-03-10T01:40:23Z,"titan,mainline,vanilla,tbc,mists",13591,2jK8QeGy,10474,True,2026-04-05T23:28:23Z,6606,28
208637902,LibDropDown,Addons-By-Neotron/LibDropDown,https://github.com/Addons-By-Neotron/LibDropDown,A library for dropdown menus,2026-02-26T19:54:58Z,"titan,mainline,vanilla,tbc,mists",17280,,,True,2026-04-05T23:28:23Z,1992,22
208635483,LibLogger,Addons-By-Neotron/LibLogger,https://github.com/Addons-By-Neotron/LibLogger,,2026-02-26T19:53:45Z,"titan,mainline,vanilla,tbc,mists",14297,,,True,2026-04-05T23:28:23Z,400,17
208635003,LibMagicUtil,Addons-By-Neotron/LibMagicUtil,https://github.com/Addons-By-Neotron/LibMagicUtil,,2026-03-08T18:43:08Z,"titan,mainline,vanilla,tbc,mists",18625,,,True,2026-04-05T23:28:23Z,672,37
208635094,MagicComm,Addons-By-Neotron/MagicComm,https://github.com/Addons-By-Neotron/MagicComm,Library handling communcation for Magic* addons ,2025-07-19T15:58:56Z,"mainline,vanilla,tbc,cata,mists",14360,,,True,2026-04-05T23:28:23Z,504,20
208640394,MagicMarker,Addons-By-Neotron/MagicMarker,https://github.com/Addons-By-Neotron/MagicMarker,Automated smart raid marking to speed up trash clearing in instance runs,2026-01-18T16:20:38Z,"titan,vanilla,tbc,mists",14363,ZQ6a2AKW,9110,True,2026-04-05T23:28:23Z,8588,28
369890840,MagicMarker-Data,Addons-By-Neotron/MagicMarker-Data,https://github.com/Addons-By-Neotron/MagicMarker-Data,,2022-08-06T19:02:15Z,"tbc,wrath",14364,q96dvXGO,,True,2026-04-05T23:28:23Z,1471,6
1173993524,MagicPrey,Addons-By-Neotron/MagicPrey,https://github.com/Addons-By-Neotron/MagicPrey,A simple LDB display to keep track of your current prey hunt.,2026-03-24T22:58:23Z,mainline,1485454,aNDMwp6o,,True,2026-04-05T23:28:23Z,3,5
521618773,MagicRunes,Addons-By-Neotron/MagicRunes,https://github.com/Addons-By-Neotron/MagicRunes,,2026-02-26T19:57:19Z,"titan,mainline,mists",16111,7nGvkWNx,11669,True,2026-04-05T23:28:23Z,2176,15
208640310,MagicTargets2,Addons-By-Neotron/MagicTargets2,https://github.com/Addons-By-Neotron/MagicTargets2,PvE Status Frames,2026-01-19T23:54:15Z,mainline,14365,pkNMEqNz,9098,True,2026-04-05T23:28:23Z,584,32
552323537,MeeyrasLockouts,Addons-By-Neotron/MeeyrasLockouts,https://github.com/Addons-By-Neotron/MeeyrasLockouts,"Meeyras Lockouts is an addon that shows your current instance lockouts in a LDB display or minimap button, as well as allowing listing of lockouts to party/raid chat. ",2026-02-26T19:57:57Z,"titan,mainline,vanilla,tbc,mists",689051,25NRz1N3,,True,2026-04-05T23:28:23Z,389,9
208635737,SexyReputation,Addons-By-Neotron/SexyReputation,https://github.com/Addons-By-Neotron/SexyReputation,"A fancy LDB reputation display, show faction reputation and reputation change history",2026-03-08T20:01:00Z,"titan,mainline,vanilla,tbc,mists",27993,J96E42Ng,23129,True,2026-04-05T23:28:23Z,39403,32
639034,AdiBags,AdiAddons/AdiBags,https://github.com/AdiAddons/AdiBags,WoW Addon — Adirelle's bag addon.,2024-09-08T02:20:23Z,"mainline,vanilla,tbc,wrath",,,,True,2026-04-05T23:28:23Z,1097236,56
14010348,AdiButtonAuras,AdiAddons/AdiButtonAuras,https://github.com/AdiAddons/AdiButtonAuras,WoW addon - Display auras on action buttons.,2025-10-31T15:59:16Z,mainline,68441,,,True,2026-04-05T23:28:23Z,35927,24
14625469,LibPlayerSpells-1.0,AdiAddons/LibPlayerSpells-1.0,https://github.com/AdiAddons/LibPlayerSpells-1.0,WoW addon library - additional information about player spells.,2024-10-19T20:50:02Z,mainline,72228,,,True,2026-04-05T23:28:23Z,2726,4
294291,oUF_Adirelle,Adirelle/oUF_Adirelle,https://github.com/Adirelle/oUF_Adirelle,WoW addon: oUF-based unit and raid frames.,2021-03-18T10:30:47Z,mainline,21613,,,False,2026-04-05T23:28:23Z,171,20
795233179,AdvancedMythicTracker,Aeon234/AdvancedMythicTracker,https://github.com/Aeon234/AdvancedMythicTracker,,2026-03-28T19:16:47Z,mainline,1037826,,,True,2026-04-05T23:28:23Z,91,11
868470509,FarstaAddon,Ahava/FarstaAddon,https://github.com/Ahava/FarstaAddon,,2024-12-18T15:47:48Z,mainline,1116337,,,True,2026-04-05T23:28:23Z,986,13
355250434,wow-discord-rpc,AipNooBest/wow-discord-rpc,https://github.com/AipNooBest/wow-discord-rpc,Discord Rich Presence for World of Warcraft,2021-04-07T07:45:38Z,mists,,,,False,2026-04-05T23:28:23Z,71,1
295740617,AltReps,Alastair-Scott/AltReps,https://github.com/Alastair-Scott/AltReps,AltReps is an addon that allows you to track reputations across your characters,2023-11-20T17:45:56Z,mainline,408394,RaN0pLNj,25680,True,2026-04-05T23:28:23Z,3988,40
466050653,ElvUI_AutoVendorBlacklist,Alastair-Scott/ElvUI_AutoVendorBlacklist,https://github.com/Alastair-Scott/ElvUI_AutoVendorBlacklist,,2022-06-01T19:17:03Z,mainline,585872,0mNwvWGo,26246,True,2026-04-05T23:28:23Z,247,4
966926593,BigWigs_VoicePlus,Alcadramin/BigWigs_VoicePlus,https://github.com/Alcadramin/BigWigs_VoicePlus,Crisp and clear AI-powered voice alerts for boss abilities in BigWigs,2025-05-11T21:26:48Z,mainline,1243086,,,True,2026-04-05T23:28:23Z,3775,5
98059037,ArenaLeaveConfirmer,AlexFolland/ArenaLeaveConfirmer,https://github.com/AlexFolland/ArenaLeaveConfirmer,,2026-02-10T21:58:43Z,"titan,mainline,vanilla,tbc,wrath,cata,mists",49965,,,True,2026-04-05T23:28:23Z,238,4
